rank,sentence,original_order,frequency,complexity,grammar,structural,similarity,similar_to,final_score
99,三个,883,89.4,16.2,0.0,9.7,0.0,,69.84
100,每天,894,89.3,16.2,0.0,9.7,0.0,,69.82
101,愿意,32,89.3,16.2,0.0,9.7,0.0,,69.81
102,理解,151,89.3,16.2,0.0,9.7,0.0,,69.81
103,女孩,46,89.3,16.2,0.0,9.7,0.0,,69.80
104,攻击,75,89.3,16.2,0.0,9.7,0.0,,69.80
105,机场,392,89.3,16.2,0.0,9.7,0.0,,69.80
106,欢迎,5,89.3,16.2,0.0,9.7,0.0,,69.80
107,至少,268,89.3,16.2,0.0,9.7,0.0,,69.80
108,同意,71,89.3,16.2,0.0,9.7,0.0,,69.78
109,突然,344,89.2,16.2,0.0,9.7,0.0,,69.76
110,同志,207,89.2,16.2,0.0,9.7,0.0,,69.75
111,谢谢啦,634,89.4,16.5,0.0,9.9,0.0,,69.75
112,她在哪？,1492,89.8,17.2,0.0,10.3,0.0,,69.75
113,钱在哪？,1506,89.8,17.2,0.0,10.3,0.0,,69.73
114,我也,585,90.0,13.2,0.0,7.9,6.7,,69.71
115,就这,525,90.0,13.2,0.0,7.9,6.7,,69.71
116,还我,156,90.0,13.2,0.0,7.9,6.7,,69.71
117,而我,854,90.0,13.2,0.0,7.9,6.7,,69.71
118,等我,589,90.0,13.2,0.0,7.9,6.7,,69.71
119,但我,719,90.0,13.2,0.0,7.9,6.7,,69.71
120,就来,524,90.0,13.2,0.0,7.9,6.7,,69.71
121,会吗？,501,90.0,13.2,0.0,7.9,6.7,,69.71
122,让我,608,90.0,13.2,0.0,7.9,6.7,,69.70
123,给我,581,90.0,13.2,0.0,7.9,6.7,,69.70
124,等会,592,90.0,13.2,0.0,7.9,6.7,,69.70
125,给他,582,90.0,13.2,0.0,7.9,6.7,,69.70
126,我做,514,90.0,13.2,0.0,7.9,6.7,,69.70
127,没了,69,90.0,13.2,0.0,7.9,6.7,,69.70
128,没人,63,90.0,13.2,0.0,7.9,6.7,,69.70
129,我得,925,90.0,13.2,0.0,7.9,6.7,,69.70
130,又来？,213,90.0,13.2,0.0,7.9,6.7,,69.70
131,等着,45,90.0,13.2,0.0,7.9,6.7,,69.70
132,可我,174,90.0,13.2,0.0,7.9,6.7,,69.69
133,等下,591,90.0,13.2,0.0,7.9,6.7,,69.69
134,还没,527,90.0,13.2,0.0,7.9,6.7,,69.69
135,那就,523,89.9,13.2,0.0,7.9,6.7,,69.69
136,上吧,702,89.9,13.2,0.0,7.9,6.7,,69.69
137,来吧,219,89.9,13.2,0.0,7.9,6.7,,69.69
138,我爱,578,89.9,13.2,0.0,7.9,6.7,,69.69
139,是谁？,568,89.9,13.2,0.0,7.9,6.7,,69.69
140,和谁？,824,89.9,13.2,0.0,7.9,6.7,,69.69
141,我跟,750,89.9,13.2,0.0,7.9,6.7,,69.68
142,被谁?,246,89.9,13.2,0.0,7.9,6.7,,69.68
143,做吧,511,89.9,13.2,0.0,7.9,6.7,,69.68
144,我呢？,532,89.9,13.2,0.0,7.9,6.7,,69.68
145,快上！,692,89.9,13.2,0.0,7.9,6.7,,69.68
146,他呢？,533,89.9,13.2,0.0,7.9,6.7,,69.68
147,给谁？,583,89.9,13.2,0.0,7.9,6.7,,69.67
148,有一个,769,90.0,17.8,0.0,10.7,0.0,,69.67
149,就像,800,89.9,13.2,0.0,7.9,6.7,,69.67
150,带了,960,89.9,13.2,0.0,7.9,6.7,,69.67
151,我走,510,89.9,13.2,0.0,7.9,6.7,,69.67
152,吃了,953,89.9,13.2,0.0,7.9,6.7,,69.66
153,是么？,504,89.9,13.2,0.0,7.9,6.7,,69.66
154,没呢,535,89.9,13.2,0.0,7.9,6.7,,69.66
155,有问题,180,90.0,17.8,0.0,10.7,0.0,,69.66
156,开了,545,89.9,13.2,0.0,7.9,6.7,,69.66
157,听好,587,89.9,13.2,0.0,7.9,6.7,,69.66
158,听着,803,89.9,13.2,0.0,7.9,6.7,,69.66
159,问我,845,89.9,13.2,0.0,7.9,6.7,,69.66
160,问他,846,89.9,13.2,0.0,7.9,6.7,,69.66
161,没钱,188,89.9,13.2,0.0,7.9,6.7,,69.66
162,一什么？,544,90.0,17.8,0.0,10.7,0.0,,69.66
163,好，走,506,89.9,13.2,0.0,7.9,6.7,,69.65
164,我叫,806,89.9,13.2,0.0,7.9,6.7,,69.65
165,好么？,505,89.9,13.2,0.0,7.9,6.7,,69.65
166,跟谁？,753,89.9,13.2,0.0,7.9,6.7,,69.65
167,用什么？,1585,89.9,17.8,0.0,10.7,0.0,,69.65
168,走吧,507,89.9,13.2,0.0,7.9,6.7,,69.64
169,时间到,980,89.9,17.8,0.0,10.7,0.0,,69.64
170,吃吧,942,89.9,13.2,0.0,7.9,6.7,,69.64
171,找我？,872,89.8,13.2,0.0,7.9,6.7,,69.64
172,问吧,844,89.8,13.2,0.0,7.9,6.7,,69.64
173,进了,961,89.8,13.2,0.0,7.9,6.7,,69.64
174,钱呢？,189,89.8,13.2,0.0,7.9,6.7,,69.64
175,都一样,982,89.9,17.8,0.0,10.7,0.0,,69.63
176,快走,509,89.8,13.2,0.0,7.9,6.7,,69.63
177,快吃,944,89.8,13.2,0.0,7.9,6.7,,69.63
178,在一起,1477,89.9,17.8,0.0,10.7,0.0,,69.63
179,什么钱？,713,89.9,17.8,0.0,10.7,0.0,,69.62
180,像什么？,802,89.9,17.8,0.0,10.7,0.0,,69.62
181,还行,764,89.8,13.2,0.0,7.9,6.7,,69.61
182,什么话？,789,89.9,17.8,0.0,10.7,0.0,,69.61
183,找谁？,871,89.8,13.2,0.0,7.9,6.7,,69.61
184,很美,897,89.8,13.2,0.0,7.9,6.7,,69.61
185,问什么？,840,89.9,17.8,0.0,10.7,0.0,,69.61
186,叫什么？,1603,89.9,17.8,0.0,10.7,0.0,,69.60
187,知道么？,503,89.8,17.8,0.0,10.7,0.0,,69.60
188,当然有,664,89.8,17.8,0.0,10.7,0.0,,69.60
189,在哪里？,760,89.8,17.8,0.0,10.7,0.0,,69.59
190,当然要,675,89.8,17.8,0.0,10.7,0.0,,69.59
191,找什么？,873,89.8,17.8,0.0,10.7,0.0,,69.59
192,玩什么？,701,89.8,17.8,0.0,10.7,0.0,,69.59
193,好啦,633,89.7,13.2,0.0,7.9,6.7,,69.59
194,当然想,674,89.8,17.8,0.0,10.7,0.0,,69.58
195,哪一个？,779,89.8,17.8,0.0,10.7,0.0,,69.57
196,告诉她,724,89.8,17.8,0.0,10.7,0.0,,69.57
197,完了,185,89.7,13.2,0.0,7.9,6.7,,69.55
198,有警察,323,89.7,17.8,0.0,10.7,0.0,,69.55
199,怎么啦？,175,89.7,17.8,0.0,10.7,0.0,,69.54
200,帮我,190,89.6,13.2,0.0,7.9,6.7,,69.54
201,搞什么？,281,89.7,17.8,0.0,10.7,0.0,,69.53
202,先生们,134,89.7,17.8,0.0,10.7,0.0,,69.52
203,笑一个,849,89.7,17.8,0.0,10.7,0.0,,69.51
204,笑什么？,229,89.7,17.8,0.0,10.7,0.0,,69.50
205,叫警察！,322,89.6,17.8,0.0,10.7,0.0,,69.49
206,怎么帮？,718,89.6,17.8,0.0,10.7,0.0,,69.48
207,一年前,1957,89.6,17.8,0.0,10.7,0.0,,69.48
208,当然啦,665,89.6,17.8,0.0,10.7,0.0,,69.48
209,女孩们,269,89.6,17.8,0.0,10.7,0.0,,69.47
210,近一点,965,89.5,17.8,0.0,10.7,0.0,,69.44
211,妈妈 妈妈,2281,89.4,18.6,0.0,11.2,0.0,,69.13
212,谢谢 谢谢,629,89.3,18.6,0.0,11.2,0.0,,69.06
213,看什么看？,555,90.0,19.8,0.0,11.8,0.0,,69.05
214,不 我,133,90.0,13.2,0.0,7.9,10.0,,69.05
215,和你,818,90.0,13.2,0.0,7.9,10.0,,69.05
216,"不,你",134,90.0,13.2,0.0,7.9,10.0,,69.05
217,对 我,541,90.0,13.2,0.0,7.9,10.0,,69.05
218,也对,586,90.0,13.2,0.0,7.9,10.0,,69.04
219,你就,522,90.0,13.2,0.0,7.9,10.0,,69.04
220,对吗？,537,90.0,13.2,0.0,7.9,10.0,,69.04
221,而你,853,90.0,13.2,0.0,7.9,10.0,,69.04
222,等你,593,90.0,13.2,0.0,7.9,10.0,,69.04
223,但你,720,90.0,13.2,0.0,7.9,10.0,,69.04
224,你能,550,90.0,13.2,0.0,7.9,10.0,,69.04
225,不多,727,90.0,13.2,0.0,7.9,10.0,,69.04
226,很对,543,90.0,13.2,0.0,7.9,10.0,,69.04
227,不给,168,90.0,13.2,0.0,7.9,10.0,,69.03
228,对，好,540,90.0,13.2,0.0,7.9,10.0,,69.03
229,给你,580,90.0,13.2,0.0,7.9,10.0,,69.03
230,什么 什么,136,90.0,19.8,0.0,11.9,0.0,,69.03
231,对吧？,536,89.9,13.2,0.0,7.9,10.0,,69.02
232,啊 不,141,89.9,13.2,0.0,7.9,10.0,,69.02
233,你啊,140,89.9,13.2,0.0,7.9,10.0,,69.02
234,啊，对,542,89.9,13.2,0.0,7.9,10.0,,69.02
235,才不,241,89.9,13.2,0.0,7.9,10.0,,69.02
236,上啊,693,89.9,13.2,0.0,7.9,10.0,,69.02
237,爱你,577,89.9,13.2,0.0,7.9,10.0,,69.02
238,请你,613,89.9,13.2,0.0,7.9,10.0,,69.01
